trade_id,date_time,symbol,side,qty,entry_price,exit_price,pnl_usd,pnl_percent,strategy_used,ai_confidence,market_regime,trend,vwap_status,delta,cvd,volume,liquidity_pct,psychology_score,notes
1,2026-08-01 10:32:27,BTCUSD,LONG,1.984,63009.0,63065.0,-36.4732,0.0889,AI OrderFlow (auto),95,WHALE SELL,Sideways,Above,-1318.0,-1318.0,167404.0,11.3%,90.0,AI Auto-Trade — LONG at 95% confidence
2,2026-08-01 10:37:41,BTCUSD,SHORT,1.975,63065.0,63083.5,-183.532,-0.0293,AI OrderFlow (auto),75,WHALE BUY,Sideways,Above,1505.0,187.0,170026.0,13.8%,50.0,AI Auto-Trade — SHORT at 75% confidence
3,2026-08-01 10:45:10,BTCUSD,LONG,1.938,63083.5,63100.0,-112.3037,0.0262,AI OrderFlow (auto),75,WHALE SELL,Uptrend,Above,-2838.0,-2651.0,181370.0,21.1%,50.0,AI Auto-Trade — LONG at 75% confidence
1,2026-08-01 11:17:21,BTCUSD,LONG,1.918,62990.0,62984.0,-154.0627,-0.0095,AI OrderFlow (auto),85,WHALE SELL,Sideways,Below,-3645.0,-3645.0,269297.0,-23.7%,70.0,AI Auto-Trade — LONG at 85% confidence
2,2026-08-01 11:21:06,BTCUSD,SHORT,1.888,62984.0,62990.0,-151.6529,-0.0095,AI OrderFlow (auto),75,WHALE BUY,Sideways,Below,2987.0,-658.0,71922.0,-21.1%,50.0,AI Auto-Trade — SHORT at 75% confidence
1,2026-08-01 11:34:59,BTCUSD,LONG,1.857,63010.0,62986.0,-182.613,-0.0381,AI OrderFlow (auto),75,WHALE SELL,Sideways,Below,-4966.0,-4966.0,290514.0,2.3%,50.0,AI Auto-Trade — LONG at 75% confidence
2,2026-08-01 11:46:05,BTCUSD,SHORT,1.822,62986.0,63008.5,-176.4366,-0.0357,AI OrderFlow (auto),75,WHALE BUY,Sideways,Below,2028.0,-2938.0,42751.0,-12.0%,50.0,AI Auto-Trade — SHORT at 75% confidence
3,2026-08-01 11:49:28,BTCUSD,LONG,1.786,63008.5,62985.0,-174.7354,-0.0373,AI OrderFlow (auto),75,WHALE SELL,Sideways,Below,-2287.0,-5225.0,40619.0,-1.5%,50.0,AI Auto-Trade — LONG at 75% confidence
4,2026-08-01 11:50:33,BTCUSD,SHORT,1.752,62985.0,63027.0,-203.84,-0.0667,AI OrderFlow (auto),75,WHALE BUY,Sideways,Below,2892.0,-2333.0,42724.0,12.8%,50.0,AI Auto-Trade — SHORT at 75% confidence
5,2026-08-01 11:59:57,BTCUSD,LONG,1.71,63027.0,63041.0,-103.25,0.0222,AI OrderFlow (auto),75,WHALE SELL,Sideways,Above,-1576.0,-3909.0,310105.0,24.1%,50.0,AI Auto-Trade — LONG at 75% confidence
1,2026-08-01 12:15:23,BTCUSD,LONG,1.689,63051.5,63036.0,-151.827,-0.0246,AI OrderFlow (auto),75,WHALE SELL,Sideways,Above,-3182.0,-3182.0,291330.0,-2.6%,50.0,AI Auto-Trade — LONG at 75% confidence
2,2026-08-01 12:20:12,BTCUSD,SHORT,1.66,63036.0,63054.0,-153.3726,-0.0286,AI OrderFlow (auto),75,WHALE BUY,Sideways,Above,1291.0,-1891.0,267594.0,1.6%,50.0,AI Auto-Trade — SHORT at 75% confidence
1,2026-08-01 20:36:10,BTCUSD,SHORT,1.688,63085.5,63097.0,-145.0797,-0.0182,AI OrderFlow (auto),75,WHALE BUY,Sideways,Above,2063.0,2063.0,235333.0,4.7%,50.0,AI Auto-Trade — SHORT at 75% confidence
2,2026-08-01 20:39:25,BTCUSD,LONG,1.659,63097.0,63084.5,-144.2452,-0.0198,AI OrderFlow (auto),75,WHALE SELL,Sideways,Above,-1712.0,351.0,239471.0,19.0%,50.0,AI Auto-Trade — LONG at 75% confidence
3,2026-08-02 08:55:02,BTCUSD,SHORT,1.631,63084.5,63471.0,-752.1646,-0.6127,AI OrderFlow (auto),45,WHALE SELL,Sideways,Above,-1557.0,-1206.0,229322.0,39.2%,10.0,AI Auto-Trade — SHORT at 45% confidence
1,2026-08-02 08:58:11,BTCUSD,LONG,1.473,63476.5,63415.0,-200.8671,-0.0969,AI OrderFlow (auto),75,WHALE SELL,Uptrend,Above,-2266.0,-2266.0,838626.0,5.3%,50.0,AI Auto-Trade — LONG at 75% confidence
2,2026-08-02 09:06:33,BTCUSD,SHORT,1.435,63415.0,63470.0,-186.3522,-0.0867,AI OrderFlow (auto),75,WHALE BUY,Uptrend,Above,1965.0,-301.0,841290.0,6.0%,50.0,AI Auto-Trade — SHORT at 75% confidence
3,2026-08-02 09:18:56,BTCUSD,LONG,1.397,63470.0,63489.0,-78.1004,0.0299,AI OrderFlow (auto),75,WHALE SELL,Uptrend,Above,-1730.0,-2031.0,607930.0,5.6%,50.0,AI Auto-Trade — LONG at 75% confidence
4,2026-08-02 09:30:24,BTCUSD,SHORT,1.381,63489.0,63472.5,-80.6605,0.026,AI OrderFlow (auto),75,WHALE BUY,Uptrend,Above,2431.0,400.0,471491.0,19.6%,50.0,AI Auto-Trade — SHORT at 75% confidence
5,2026-08-02 09:32:24,BTCUSD,LONG,1.365,63472.5,63490.0,-78.3618,0.0276,AI OrderFlow (auto),95,WHALE SELL,Uptrend,Above,-1432.0,-1032.0,484317.0,25.6%,90.0,AI Auto-Trade — LONG at 95% confidence
6,2026-08-02 09:35:45,BTCUSD,SHORT,1.35,63490.0,63507.0,-124.1031,-0.0268,AI OrderFlow (auto),85,WHALE BUY,Uptrend,Above,3508.0,2476.0,475480.0,25.1%,70.0,AI Auto-Trade — SHORT at 85% confidence
7,2026-08-02 09:44:48,BTCUSD,LONG,1.325,63507.0,63522.5,-78.7678,0.0244,AI OrderFlow (auto),75,WHALE SELL,Uptrend,Above,-2007.0,469.0,478385.0,25.9%,50.0,AI Auto-Trade — LONG at 75% confidence
8,2026-08-02 09:50:24,BTCUSD,SHORT,1.309,63522.5,63533.0,-111.8708,-0.0165,AI OrderFlow (auto),85,WHALE BUY,Uptrend,Above,2208.0,2677.0,428533.0,29.1%,70.0,AI Auto-Trade — SHORT at 85% confidence
